time,open,high,low,close,Basis,Upper,Lower,VWAP,Volume,Volume MA,TRIX,ATR
2018-01-13T00:00:00Z,1253.87,1427.01,1252,1388.02,954.228,1401.793958,506.6620417,1355.676667,75893.43201,93739.26581,212.5312215,166.3043745
2018-01-14T00:00:00Z,1388.1,1391.89,1220.89,1347,985.8305,1450.291038,521.3699618,1319.926667,98391.19585,94731.58356,218.1201398,166.7515769
2018-01-15T00:00:00Z,1347.99,1383.13,1258.12,1271,1011.8805,1478.946133,544.8148672,1304.083333,69236.70476,95190.79484,222.7322709,162.7761887
2018-01-16T00:00:00Z,1268.67,1275.01,780,1000,1024.886,1475.115048,574.6569515,1018.336667,343889.3651,109818.2992,224.2395077,194.417504
2018-01-17T00:00:00Z,999.99,1075.51,755,1000,1039.4915,1465.964809,613.0181909,943.5033333,436333.6733,128001.0022,223.2150425,206.4263132
2018-01-18T00:00:00Z,1000,1075.2,924.21,994,1052.492,1456.164012,648.8199879,997.8033333,294545.7121,139526.8815,220.0968145,201.1466643
2018-01-19T00:00:00Z,993.3,1079,941,1032.5,1070.064,1436.402071,703.7259286,1017.5,167954.1125,143430.5871,215.6454798,195.1326963
2018-01-20T00:00:00Z,1032.5,1165.4,1031,1152.75,1091.0025,1424.509326,757.4956735,1116.383333,123352.5836,146466.8041,211.085621,189.34863
2018-01-21T00:00:00Z,1150.37,1152.69,998,1049,1105.703,1402.577294,808.8287059,1066.563333,175031.0079,152522.8915,205.5645303,186.0535223
2018-01-22T00:00:00Z,1049,1090.15,908,993,1112.589,1391.771263,833.406737,997.05,185212.52,156120.6283,198.8207223,185.6817583
2018-01-23T00:00:00Z,993,1030,909,980,1114.8875,1388.85996,840.91504,973,160159.6396,159676.5375,191.0575975,179.5215909
2018-01-24T00:00:00Z,981.2,1074,953.09,1061,1120.9375,1384.334812,857.5401883,1029.363333,134257.7947,161244.7035,183.258333,173.9395346
2018-01-25T00:00:00Z,1060.34,1115,1030.26,1056.52,1125.7985,1380.530149,871.0668507,1067.26,119415.935,162346.7995,175.4361947,165.4443408
2018-01-26T00:00:00Z,1055.29,1082,986,1051.03,1128.1445,1379.187615,877.1013846,1039.676667,145113.638,166004.7674,167.5998955,158.8305941
2018-01-27T00:00:00Z,1051.03,1127.99,1032.2,1118.99,1127.9395,1379.005485,876.8735145,1093.06,96894.33839,167585.5433,160.3492682,152.826728
2018-01-28T00:00:00Z,1118.99,1277,1112,1251.96,1133.8785,1390.712623,877.0443775,1213.653333,143510.7359,166819.5027,154.548612,153.9860872
2018-01-29T00:00:00Z,1251.96,1258.89,1161.65,1177.01,1128.179,1375.703668,880.6543317,1199.183333,105292.7681,166148.9968,149.3028936,148.5816979
2018-01-30T00:00:00Z,1177.01,1186.85,1051,1085.5,1120.104,1362.071461,878.1365388,1107.783333,155278.554,165903.6739,143.7737236,147.3691553
2018-01-31T00:00:00Z,1084.63,1135,1029,1124.81,1119.398,1361.223979,877.5720209,1096.27,100372.0378,161194.9611,138.3586206,143.4292357
2018-02-01T00:00:00Z,1125.96,1164.99,981,1041.94,1108.8015,1344.627846,872.9751539,1062.643333,203355.2905,166674.552,132.3853812,147.2921657
2018-02-02T00:00:00Z,1041.89,1047.2,783.67,922.3,1085.5155,1297.197058,873.8339418,917.7233333,377375.2287,181748.6418,124.9830107,158.3624356
2018-02-03T00:00:00Z,923.67,998,851,971,1066.7155,1246.557801,886.8731988,940,160037.8813,184830.9761,117.0473456,157.2802989
2018-02-04T00:00:00Z,971,975,789,823.56,1044.3435,1228.244875,860.4421248,862.52,186446.0316,190691.4424,107.3951666,160.0155085
2018-02-05T00:00:00Z,821.6,862.47,634.94,697.92,1029.2395,1266.96996,791.50904,731.7766667,365506.883,191772.3183,95.19495073,166.4454601
2018-02-06T00:00:00Z,697.93,798,570.1,779.25,1018.202,1279.652619,756.7513807,715.7833333,648944.4204,202402.8557,82.28842903,172.2982734
2018-02-07T00:00:00Z,779.99,849,714.18,754,1006.202,1291.900825,720.5031755,772.3933333,356403.4441,205495.7423,68.8320656,168.728914
2018-02-08T00:00:00Z,753.19,786.93,751,781.66,993.66,1295.22279,692.0972101,773.1966667,10516.2619,197623.8497,55.56314201,156.0813984
2018-02-09T00:00:00Z,781.66,882.2,781.66,876.27,979.836,1276.264509,683.4074906,846.71,95465.0979,196229.4754,43.7101522,150.7917414
2018-02-10T00:00:00Z,876.28,911.2,800,851.15,969.9435,1269.666206,670.220794,854.1166667,214800.6427,198217.9572,32.91888825,147.0210994
2018-02-11T00:00:00Z,851.15,857,768.28,808.99,960.743,1268.265339,653.2206608,811.4233333,189323.408,198423.5016,22.7216875,141.4686137
2018-02-12T00:00:00Z,808.58,877.56,807.46,866.66,955.076,1265.136777,645.0152232,850.56,143586.9312,197594.8662,13.79953915,134.6716029
2018-02-13T00:00:00Z,866.39,871,820,841.57,944.1045,1253.925309,634.283691,844.19,110305.9354,196397.2732,5.783406486,126.7028788
2018-02-14T00:00:00Z,841.57,924.99,841.3,919.09,937.233,1242.843471,631.6225294,895.1266667,150342.8556,197943.6192,-0.601251164,122.6064142
2018-02-15T00:00:00Z,919.09,946.66,895.59,924.55,930.909,1232.040214,629.7777859,922.2666667,155637.7852,198469.8266,-5.56319821,115.7934223
2018-02-16T00:00:00Z,924.55,948.48,901.36,938.67,921.893,1210.49655,633.2894498,929.5033333,115540.1635,199402.1178,-9.209256593,109.2530964
2018-02-17T00:00:00Z,938.6,974,933.48,969.99,907.7945,1155.121728,660.4672719,959.1566667,110091.0362,197731.1329,-11.49632926,102.7070872
2018-02-18T00:00:00Z,969.99,978.5,897,911,894.494,1108.899696,680.0883039,928.8333333,160129.7952,200472.9842,-13.25067612,100.6873646
